,Name,Link
89,Jean C. Havez,/name/nm0369841/?ref_=tt_cl_wr_1
90,Cormac McCarthy,/name/nm0565092/?ref_=tt_cl_wr_3
91,Yasujirô Ozu,/name/nm0654868/?ref_=tt_cl_wr_2
92,Roman Polanski,/name/nm0000591/?ref_=tt_cl_wr_2
93,Reginald Rose,/name/nm0741627/?ref_=tt_cl_wr_1
94,Clyde Bruckman,/name/nm0115669/?ref_=tt_cl_wr_3
95,Akira Kurosawa,/name/nm0000041/?ref_=tt_cl_wr_1
96,Louis Garfinkle,/name/nm0307311/?ref_=tt_cl_wr_3
97,John Logan,/name/nm0517589/?ref_=tt_cl_wr_2
98,Clyde Bruckman,/name/nm0115669/?ref_=tt_cl_wr_2
99,Kwang-rim Kim,/name/nm1323286/?ref_=tt_cl_wr_2
100,Paul Thomas Anderson,/name/nm0000759/?ref_=tt_cl_wr_1
101,Jim Capobianco,/name/nm0135296/?ref_=tt_cl_wr_3
102,Peter Farrelly,/name/nm0268380/?ref_=tt_cl_wr_3
103,Christopher Nolan,/name/nm0634240/?ref_=tt_cl_wr_1
104,Keir Pearson,/name/nm0669311/?ref_=tt_cl_wr_1
105,Phil Lord,/name/nm0520488/?ref_=tt_cl_wr_1
106,Nick Vallelonga,/name/nm0885014/?ref_=tt_cl_wr_1
107,Calder Willingham,/name/nm0932229/?ref_=tt_cl_wr_2
108,Dario Argento,/name/nm0000783/?ref_=tt_cl_wr_3
109,Anurag Kashyap,/name/nm0440604/?ref_=tt_cl_wr_2
110,Danny Rubin,/name/nm0748035/?ref_=tt_cl_wr_1
111,Howard Lindsay,/name/nm0512231/?ref_=tt_cl_wr_2
112,Leonardo Benvenuti,/name/nm0073053/?ref_=tt_cl_wr_2
113,Chris Sanders,/name/nm0761498/?ref_=tt_cl_wr_3
114,Fulvio Morsella,/name/nm0607694/?ref_=tt_cl_wr_2
115,Kôgo Noda,/name/nm0633792/?ref_=tt_cl_wr_1
116,Myles Connolly,/name/nm0175333/?ref_=tt_cl_wr_3
117,Lawrence Kasdan,/name/nm0001410/?ref_=tt_cl_wr_2
118,Hal Dresner,/name/nm0237543/?ref_=tt_cl_wr_3
119,Jon Spaihts,/name/nm3123612/?ref_=tt_cl_wr_2
120,David Webb Peoples,/name/nm0672459/?ref_=tt_cl_wr_1
121,Solomon Northup,/name/nm1185849/?ref_=tt_cl_wr_2
122,David Giler,/name/nm0318429/?ref_=tt_cl_wr_2
123,Luigi Bartolini,/name/nm0059030/?ref_=tt_cl_wr_2
124,Bob Kane,/name/nm0004170/?ref_=tt_cl_wr_3
125,Julian Loyola,/name/nm2265326/?ref_=tt_cl_wr_1
126,Akira Kurosawa,/name/nm0000041/?ref_=tt_cl_wr_2
127,Upendra Sidhaye,/name/nm3179723/?ref_=tt_cl_wr_2
128,Meg LeFauve,/name/nm0498834/?ref_=tt_cl_wr_3
129,Graham Greene,/name/nm0001294/?ref_=tt_cl_wr_1
130,Adam Elliot,/name/nm0254178/?ref_=tt_cl_wr_1
131,T.J. Gnanavel,/name/nm4377096/?ref_=tt_cl_wr_1
132,Dan O'Bannon,/name/nm0639321/?ref_=tt_cl_wr_1
133,Raymond Chandler,/name/nm0151452/?ref_=tt_cl_wr_2
134,Çagan Irmak,/name/nm1463981/?ref_=tt_cl_wr_1
135,Stephen McFeely,/name/nm1321656/?ref_=tt_cl_wr_2
136,William Makepeace Thackeray,/name/nm0856842/?ref_=tt_cl_wr_2
137,Steven E. de Souza,/name/nm0211823/?ref_=tt_cl_wr_3
138,Nicholas Pileggi,/name/nm0683380/?ref_=tt_cl_wr_1
139,Charles Chaplin,/name/nm0000122/?ref_=tt_cl_wr_1
140,D.M. Marshman Jr.,/name/nm0551261/?ref_=tt_cl_wr_3
141,Anurag Pathak,/name/nm15090267/?ref_=tt_cl_wr_3
142,Aaron Guzikowski,/name/nm3360706/?ref_=tt_cl_wr_1
143,Pierre Bismuth,/name/nm1410028/?ref_=tt_cl_wr_3
144,Sylvester Stallone,/name/nm0000230/?ref_=tt_cl_wr_1
145,Kaneto Shindô,/name/nm0793881/?ref_=tt_cl_wr_2
146,Jeffrey Boam,/name/nm0090151/?ref_=tt_cl_wr_1
147,Lawrence Hauben,/name/nm0369142/?ref_=tt_cl_wr_1
148,Cornell Woolrich,/name/nm0941280/?ref_=tt_cl_wr_2
149,Eduardo Sacheri,/name/nm3160078/?ref_=tt_cl_wr_1
150,Tobias Lindholm,/name/nm2105585/?ref_=tt_cl_wr_2
151,Philip Kaufman,/name/nm0442241/?ref_=tt_cl_wr_3
152,Elem Klimov,/name/nm0459552/?ref_=tt_cl_wr_2
153,Luciano Vincenzoni,/name/nm0898812/?ref_=tt_cl_wr_1
154,Joseph L. Mankiewicz,/name/nm0000581/?ref_=tt_cl_wr_1
