,Name,Link
94,Robert Wise,/name/nm0936404/?ref_=tt_ov_dr
95,Martin McDonagh,/name/nm1732981/?ref_=tt_ov_dr
96,Jim Sheridan,/name/nm0006487/?ref_=tt_ov_dr
97,Frank Capra,/name/nm0001008/?ref_=tt_ov_dr
98,Tate Taylor,/name/nm0853238/?ref_=tt_ov_dr
99,Stanley Donen,/name/nm0002045/?ref_=tt_ov_dr
100,Denis Villeneuve,/name/nm0898288/?ref_=tt_ov_dr
101,Adam Elliot,/name/nm0254178/?ref_=tt_ov_dr
102,Ron Clements,/name/nm0166256/?ref_=tt_ov_dr
103,Yasujirô Ozu,/name/nm0654868/?ref_=tt_ov_dr
104,Bong Joon Ho,/name/nm0094435/?ref_=tt_ov_dr
105,John Lasseter,/name/nm0005124/?ref_=tt_ov_dr
106,Olivier Nakache,/name/nm0619923/?ref_=tt_ov_dr
107,Alejandro G. Iñárritu,/name/nm0327944/?ref_=tt_ov_dr
108,M. Night Shyamalan,/name/nm0796117/?ref_=tt_ov_dr
109,Charles Chaplin,/name/nm0000122/?ref_=tt_ov_dr
110,Sergio Leone,/name/nm0001466/?ref_=tt_ov_dr
111,Guy Ritchie,/name/nm0005363/?ref_=tt_ov_dr
112,Majid Majidi,/name/nm0006498/?ref_=tt_ov_dr
113,James McTeigue,/name/nm0574625/?ref_=tt_ov_dr
114,Lana Wachowski,/name/nm0905154/?ref_=tt_ov_dr
115,James Mangold,/name/nm0003506/?ref_=tt_ov_dr
116,William Wyler,/name/nm0943758/?ref_=tt_ov_dr
117,Çagan Irmak,/name/nm1463981/?ref_=tt_ov_dr
118,Robert Mulligan,/name/nm0612322/?ref_=tt_ov_dr
119,Nishikant Kamat,/name/nm1723225/?ref_=tt_ov_dr
120,Fernando Meirelles,/name/nm0576987/?ref_=tt_ov_dr
121,Christopher Nolan,/name/nm0634240/?ref_=tt_ov_dr
122,Billy Wilder,/name/nm0000697/?ref_=tt_ov_dr
123,Richard Marquand,/name/nm0549658/?ref_=tt_ov_dr
124,Michel Gondry,/name/nm0327273/?ref_=tt_ov_dr
125,Brian De Palma,/name/nm0000361/?ref_=tt_ov_dr
126,Ingmar Bergman,/name/nm0000005/?ref_=tt_ov_dr
127,Nadine Labaki,/name/nm1701024/?ref_=tt_ov_dr
128,Roman Polanski,/name/nm0000591/?ref_=tt_ov_dr
129,Florian Henckel von Donnersmarck,/name/nm0003697/?ref_=tt_ov_dr
130,Peter Farrelly,/name/nm0268380/?ref_=tt_ov_dr
131,Aamir Khan,/name/nm0451148/?ref_=tt_ov_dr
132,Akira Kurosawa,/name/nm0000041/?ref_=tt_ov_dr
133,Rajkumar Hirani,/name/nm0386246/?ref_=tt_ov_dr
134,Hayao Miyazaki,/name/nm0594503/?ref_=tt_ov_dr
135,Irvin Kershner,/name/nm0449984/?ref_=tt_ov_dr
136,Stanley Kramer,/name/nm0006452/?ref_=tt_ov_dr
137,Luc Besson,/name/nm0000108/?ref_=tt_ov_dr
138,Clint Eastwood,/name/nm0000142/?ref_=tt_ov_dr
139,Frank Darabont,/name/nm0001104/?ref_=tt_ov_dr
140,Dean DeBlois,/name/nm0213450/?ref_=tt_ov_dr
141,Michael Cimino,/name/nm0001047/?ref_=tt_ov_dr
142,David Fincher,/name/nm0000399/?ref_=tt_ov_dr
143,Giuseppe Tornatore,/name/nm0868153/?ref_=tt_ov_dr
144,Tony Kaye,/name/nm0443411/?ref_=tt_ov_dr
145,Isao Takahata,/name/nm0847223/?ref_=tt_ov_dr
146,Ron Howard,/name/nm0000165/?ref_=tt_ov_dr
147,Jean-Pierre Jeunet,/name/nm0000466/?ref_=tt_ov_dr
148,Thomas Kail,/name/nm2371802/?ref_=tt_ov_dr
149,Lee Unkrich,/name/nm0881279/?ref_=tt_ov_dr
150,Park Chan-wook,/name/nm0661791/?ref_=tt_ov_dr
151,Francis Ford Coppola,/name/nm0000338/?ref_=tt_ov_dr
152,Jon Watts,/name/nm1218281/?ref_=tt_ov_dr
153,Thomas Vinterberg,/name/nm0899121/?ref_=tt_ov_dr
